gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract
0,1,1,0,1,6,0,30,95.37852877345215,6.0
1,1,1,1,1,1,1,31,163.9731019398782,1.0
0,1,0,0,1,1,0,28,35.110895275635045,1.0
1,1,0,0,1,1,1,30,414.5433842898426,1.0
0,1,0,0,1,1,0,27,152.06524646464462,1.0
1,1,0,0,1,6,0,27,122.33561541666755,6.0
1,1,1,0,0,1,0,27,228.0719505992239,1.0
0,1,1,1,1,12,0,26,174.97805438258493,11.0
1,1,1,1,1,6,0,29,134.56411185989518,5.0
0,1,0,0,1,1,0,24,31.340568586282807,1.0
1,1,0,0,1,1,0,24,215.40890983725217,1.0
1,0,0,0,1,1,0,30,8.39841697871205,1.0
1,0,0,0,1,1,1,30,249.51308813677917,1.0
1,1,0,0,1,1,0,32,241.08037796680668,1.0
0,1,1,0,1,6,1,30,68.78617060962523,6.0
0,0,0,0,1,1,0,25,277.7136524685851,1.0
1,1,1,0,1,1,1,28,132.144631872878,1.0
1,1,1,1,1,6,1,26,73.17954865693335,6.0
0,1,0,1,1,1,0,24,83.65564541127117,1.0
1,1,0,0,1,1,0,23,27.72516717934969,1.0
0,1,1,1,1,6,1,28,287.83547410585294,5.0
1,1,1,1,1,1,0,25,34.33285789841679,1.0
1,1,1,0,1,12,1,30,251.42859359073572,11.0
0,1,0,0,1,6,0,28,32.93942560366577,6.0
0,1,0,0,1,1,0,26,123.69663367051905,1.0
1,0,1,0,1,1,0,27,22.33167910602752,1.0
1,1,1,0,1,12,1,26,28.737502094361183,10.0
1,0,0,0,0,1,0,28,168.77758597340758,1.0
0,1,1,0,1,1,0,28,340.3376306136844,1.0
0,1,1,1,1,1,0,31,6.075928811888389,1.0
0,1,0,0,1,6,1,21,232.9395501524931,5.0
1,1,0,0,1,6,0,25,101.70260431483764,5.0
1,1,1,0,1,6,0,30,179.12385201927108,6.0
1,1,1,1,1,6,1,31,23.30183743832832,6.0
1,1,0,0,1,1,0,26,125.38696288946257,1.0
1,1,0,0,1,1,0,26,31.121602708977328,1.0
1,1,0,0,1,1,1,25,51.29686857062286,1.0
0,1,0,0,1,1,0,29,83.36584987362376,1.0
0,1,1,1,1,1,0,33,16.749150128407233,1.0
0,1,1,0,1,1,0,26,146.34070104575625,1.0
0,1,0,0,1,12,0,31,29.413970136594358,12.0
1,0,0,0,1,1,1,23,181.45971578175823,1.0
1,1,0,0,1,1,0,28,241.9959185318043,1.0
0,1,1,1,1,12,1,34,114.96079547186243,9.0
0,0,0,0,1,1,1,30,167.04449971423398,1.0
0,1,1,1,1,12,1,29,59.803126535668106,12.0
0,1,0,0,1,12,1,27,234.7699295124091,11.0
1,1,0,0,0,1,1,25,251.4583500319224,1.0
0,1,1,1,1,6,0,29,88.90794258372078,6.0
1,1,1,1,1,12,1,29,205.4779368486628,12.0
0,1,1,1,1,12,1,32,258.6483831413877,12.0
1,1,1,0,1,1,0,31,191.38688101892743,1.0
1,1,1,1,1,6,0,33,131.59350534816556,4.0
0,0,0,0,1,1,0,23,59.16390792720026,1.0
1,0,0,0,1,1,0,32,301.6247074768349,1.0
0,1,0,0,1,1,0,30,114.79801858351584,1.0
1,0,1,0,1,1,0,31,235.0992659938536,1.0
0,1,1,1,1,1,0,25,254.79803358463138,1.0
1,1,0,0,1,12,1,32,231.3415397907338,10.0
0,0,0,0,1,6,0,29,138.79924403742478,6.0
1,0,1,0,1,1,1,28,162.55456456434447,1.0
1,1,0,0,1,1,1,34,7.540132676980518,1.0
1,0,1,0,1,1,0,33,85.16550229006472,1.0
0,0,0,0,0,1,0,25,59.880380930851686,1.0
1,0,1,0,1,6,0,29,291.7312753504424,5.0
0,1,0,0,1,12,1,28,5.865051308080439,9.0
1,1,1,1,1,12,0,28,243.8207002866404,12.0
1,1,1,1,0,1,0,32,161.47406989868878,1.0
0,1,0,0,1,6,0,34,184.6931236973552,6.0
0,1,0,0,1,6,1,27,227.86063342991784,6.0
1,1,0,0,0,1,0,26,73.70488062420708,1.0
1,0,0,0,1,1,0,33,262.71747286475966,1.0
1,1,0,0,1,1,0,32,96.91721282537708,1.0
0,1,0,0,1,1,0,28,226.23141041910444,1.0
0,1,1,1,1,12,0,29,10.804310442202306,12.0
1,1,1,1,1,12,1,35,161.989847247568,12.0
0,1,0,0,1,1,0,25,322.65654787308245,1.0
1,1,0,0,1,6,1,30,172.19943740262332,6.0
1,0,1,0,0,12,0,29,89.65779449812035,12.0
1,1,1,0,1,12,1,37,194.23515075203582,12.0
1,1,0,0,1,1,0,36,79.29361848882044,1.0
0,0,1,0,1,1,0,22,66.70614985018169,1.0
1,1,0,0,1,1,0,32,154.3411191967422,1.0
1,0,0,0,1,6,0,32,264.7647420446215,6.0
0,0,1,0,1,6,0,30,208.80618511574767,6.0
1,1,1,1,1,1,1,29,175.52462363115475,1.0
0,1,1,1,1,12,0,30,157.44673126842932,11.0
1,1,0,0,1,12,0,28,416.7071747042405,7.0
1,1,1,1,1,12,1,32,207.524673359496,9.0
1,1,0,0,1,1,0,31,329.54612276586613,1.0
0,1,1,1,0,1,1,26,142.5417175113823,1.0
1,1,0,0,1,12,1,30,77.06225564547923,11.0
0,1,1,1,1,6,0,26,54.69421089191693,6.0
1,1,1,1,1,12,1,26,9.423026461182415,7.0
0,1,0,0,1,1,0,29,34.99031404544924,1.0
1,1,1,0,1,1,1,30,255.54778169154147,1.0
1,0,0,0,1,1,0,22,214.41867366149242,1.0
0,1,1,1,1,1,0,23,174.8732368744856,1.0
1,0,0,0,1,1,0,31,104.68044618332502,1.0
1,1,0,0,1,1,1,32,72.80895435796623,1.0
0,1,1,1,1,6,0,34,75.04623523493058,5.0
1,1,0,1,1,1,1,31,122.05642080994387,1.0
0,1,0,0,1,6,0,29,143.13548853575756,5.0
1,1,1,1,1,1,1,27,229.4853857224899,1.0
1,1,1,0,0,1,0,26,24.50648027433324,1.0
1,1,0,0,1,1,0,29,285.17118890712527,1.0
0,1,1,0,1,1,1,29,299.26475178182426,1.0
1,1,0,1,1,12,1,29,149.51840020494063,8.0
1,1,0,0,1,1,0,35,126.58892173093165,1.0
0,1,0,0,1,1,1,29,170.71720745157273,1.0
0,1,0,0,1,1,0,27,243.44782695321555,1.0
1,1,1,1,1,12,1,30,60.24556867198161,12.0
0,1,1,1,1,12,0,31,327.58812027967014,7.0
1,1,0,1,1,1,1,27,118.34535811686888,1.0
1,1,0,1,1,1,1,29,95.66155841984995,1.0
1,1,0,0,1,1,0,31,83.26797896668923,1.0
0,1,1,0,1,12,0,30,357.0469424513923,11.0
0,1,0,0,1,1,0,33,32.28790186479418,1.0
0,0,0,0,1,1,0,28,56.183114648977785,1.0
1,1,0,0,1,1,0,33,68.50358197916258,1.0
0,0,0,0,1,1,0,30,218.89311599494246,1.0
1,0,1,0,1,12,1,29,73.06104519177603,8.0
1,1,0,0,1,1,0,32,39.93783767837607,1.0
0,1,1,1,1,6,1,27,292.22860911894236,4.0
0,1,0,0,0,12,0,27,327.35373070151667,12.0
0,1,0,0,1,1,0,30,186.37195901184222,1.0
0,1,0,0,1,1,0,29,121.46156881946504,1.0
0,1,1,0,1,1,0,26,231.16588854529374,1.0
1,1,1,0,1,12,0,30,174.43058712331646,11.0
0,0,1,0,0,6,0,33,53.124270062825616,5.0
1,0,1,1,1,12,0,29,171.72584607432987,12.0
0,1,0,0,0,1,0,29,241.7016740555345,1.0
1,1,1,1,1,12,1,33,235.6397654490464,9.0
1,1,0,0,1,1,0,27,184.1724486788892,1.0
0,1,1,1,1,12,1,27,111.26584600918886,12.0
0,1,0,0,1,1,0,32,230.0573528337177,1.0
0,1,1,0,1,1,0,34,46.49219971093142,1.0
1,1,0,0,1,1,0,25,153.14317819578702,1.0
1,1,1,0,1,6,0,30,53.38598407052636,6.0
0,1,1,1,1,12,1,31,186.37316604299045,12.0
1,1,1,1,1,6,0,32,50.69298489717524,6.0
0,1,1,0,0,12,1,29,271.30395924962664,11.0
0,1,1,0,0,6,1,29,141.13879614444704,3.0
1,1,1,0,1,1,0,31,180.13137194111198,1.0
1,1,0,0,1,1,0,23,131.1115714669628,1.0
0,1,0,0,0,1,0,32,186.58564433799918,1.0
0,0,0,0,1,1,0,26,7.159988650331982,1.0
1,1,0,0,1,1,1,25,139.98469206376043,1.0
0,1,0,0,1,12,0,31,318.5367588526888,11.0
0,1,1,0,1,12,0,31,279.5139878153244,12.0
0,1,1,0,1,1,0,25,111.95379416730324,1.0
1,1,0,0,1,6,1,27,268.11727203630886,6.0
0,1,1,1,1,12,0,30,109.0796443434009,12.0
1,1,0,0,1,12,0,31,252.64357646352056,8.0
1,1,0,0,1,1,0,34,247.79181725408387,1.0
1,0,1,1,1,1,0,24,277.0356467212181,1.0
1,1,1,1,1,1,0,31,259.2449021059656,1.0
1,1,0,0,1,1,1,27,33.34895705215342,1.0
0,1,0,0,1,1,0,25,111.84578933272041,1.0
0,1,1,1,1,12,1,31,191.1440194124347,7.0
1,1,1,0,1,1,1,34,190.7505073605873,1.0
1,1,0,0,0,1,0,33,32.556886044222864,1.0
1,1,1,0,1,1,1,32,207.16620910982846,1.0
0,0,0,0,1,1,0,30,82.25533188214428,1.0
1,1,0,0,1,1,0,23,48.93800229645518,1.0
1,1,0,0,1,1,0,36,146.1815570652607,1.0
0,1,0,0,1,6,0,33,27.91190796574705,6.0
0,1,1,1,1,1,0,21,41.07207142384463,1.0
0,1,0,0,1,1,0,26,217.2981721426605,1.0
1,1,1,0,1,12,0,29,87.5214008607283,11.0
0,1,0,1,1,1,1,36,103.17368375861952,1.0
0,1,0,0,1,12,0,30,291.2141628160044,11.0
1,1,1,1,1,6,1,32,296.026016900965,6.0
0,1,0,0,1,6,1,27,196.68546126591409,6.0
0,1,1,0,1,1,0,30,44.27186794015736,1.0
1,1,1,1,1,12,0,31,14.899913231023532,12.0
1,0,1,0,0,1,1,28,22.271532347506035,1.0
0,0,0,0,1,1,0,27,185.21088525003785,1.0
0,1,0,0,1,12,1,30,85.5813918686716,9.0
0,1,1,1,1,12,0,26,215.47657592028577,9.0
1,1,0,0,1,1,1,28,79.53083110617769,1.0
0,1,1,0,1,12,0,26,132.33955360332587,12.0
0,1,1,1,1,1,0,30,95.80402094487127,1.0
0,0,0,0,1,1,0,26,119.33992739748207,1.0
1,0,1,0,1,6,0,30,67.21429781687213,6.0
0,1,0,0,1,1,0,32,166.00411591408908,1.0
0,1,0,0,0,12,1,32,27.65726189361179,8.0
0,1,0,1,1,6,0,34,111.64396401074532,6.0
0,1,0,0,1,1,0,32,158.36547436032552,1.0
0,1,0,0,1,1,1,37,61.26257392544929,1.0
1,0,0,1,1,6,1,27,268.4628026961343,6.0
0,1,0,0,1,1,0,31,19.295875208891967,1.0
1,1,1,0,1,6,0,33,264.0094278422361,6.0
1,1,0,0,1,1,1,32,28.94454578043405,1.0
0,1,1,0,1,1,0,29,172.37381424309916,1.0
1,1,1,1,1,6,1,30,9.79178191412946,6.0
1,0,0,0,1,1,0,30,74.9221835066849,1.0
0,1,0,0,1,1,1,28,178.8156290810931,1.0
0,1,0,0,1,1,0,31,321.2138581463253,1.0
1,1,1,1,1,1,1,29,411.7113085850302,1.0
1,1,0,0,0,6,0,37,362.6004771822383,6.0
1,1,0,0,1,12,0,27,212.1872030601553,10.0
0,0,0,0,1,1,0,32,8.00073629625308,1.0
1,1,1,0,0,1,1,27,87.369072783395,1.0
0,1,0,0,1,1,1,30,87.42897102196278,1.0
0,1,1,0,1,12,1,31,163.26080481750802,10.0
0,1,1,1,0,1,0,31,4.791323833846533,1.0
1,1,1,0,1,1,1,33,22.63539513639585,1.0
1,0,0,0,1,1,0,29,107.68223624663277,1.0
0,1,1,1,1,12,1,28,113.29911571946798,12.0
0,1,1,1,1,12,1,30,131.6627022446107,9.0
1,0,1,0,1,1,0,36,304.3332705945562,1.0
0,1,0,0,1,12,0,30,165.97774217280755,12.0
0,1,1,1,1,12,1,35,302.878534738432,9.0
1,1,1,0,1,1,0,31,125.6193596954305,1.0
0,1,1,0,1,12,1,29,42.24532509765183,12.0
1,1,0,0,1,1,0,25,294.95448051607366,1.0
0,1,0,0,1,6,0,29,61.658825727238906,6.0
1,1,0,0,0,1,0,24,43.79864280702118,1.0
1,0,0,0,1,1,0,30,300.329873368941,1.0
1,1,1,1,0,6,1,30,378.6654363508136,6.0
0,1,0,0,1,1,0,28,60.42205160338389,1.0
0,1,1,1,1,1,0,33,208.2639472715427,1.0
0,1,1,1,1,12,0,27,175.8822373865701,6.0
1,1,0,0,1,1,1,28,169.0003691632586,1.0
0,0,0,0,1,1,0,30,353.89483221304164,1.0
0,1,0,0,1,1,0,30,33.64768713417806,1.0
1,1,0,0,1,6,0,24,233.821819461228,6.0
1,1,0,1,1,12,1,28,42.11737765085556,11.0
0,1,0,0,1,1,0,31,104.91704106895702,1.0
0,1,0,1,0,1,1,28,249.44664944128928,1.0
0,0,0,0,1,1,0,31,103.52946486576971,1.0
1,1,1,0,1,1,0,30,127.87906257455444,1.0
0,0,1,0,1,12,1,31,26.64347602796116,9.0
1,1,0,0,1,1,0,28,309.4325947999045,1.0
1,1,1,0,1,12,0,24,70.67150093064276,12.0
0,1,1,0,1,1,0,31,118.70970896052592,1.0
0,1,1,0,1,1,1,33,127.32609433383236,1.0
1,1,0,0,1,1,1,34,123.63534886016492,1.0
0,1,1,1,1,1,1,25,5.764080608692979,1.0
1,1,0,1,1,1,0,33,31.449560104543906,1.0
1,1,1,1,0,6,0,28,228.09893908574256,6.0
0,1,0,0,1,12,1,32,130.98141748474984,11.0
1,1,0,0,1,1,1,30,104.26830958825241,1.0
1,0,1,0,1,6,0,29,109.9986514124416,6.0
1,1,1,0,1,6,0,33,76.695751402237,4.0
0,1,1,0,1,6,1,29,208.41746374923835,5.0
1,1,1,1,1,12,1,32,73.31758254405936,12.0
1,1,1,1,1,12,0,30,209.2103335070749,11.0
1,1,1,0,1,1,1,26,300.92798748069765,1.0
0,1,1,0,1,1,0,27,372.1845733937842,1.0
1,1,1,1,1,12,0,35,211.43014185933646,12.0
1,1,1,1,1,1,0,23,191.81806276748054,1.0
0,1,0,0,1,1,0,28,109.4925236483258,1.0
0,1,1,1,1,12,1,34,169.3236577161879,12.0
1,1,1,1,1,1,1,33,328.69097743983133,1.0
0,1,0,0,1,6,1,35,44.286882256923285,6.0
1,1,0,0,0,1,0,27,56.1786138497775,1.0
0,1,1,0,1,1,0,25,49.278551350296574,1.0
1,1,1,1,1,1,1,30,94.79606251386365,1.0
1,0,0,1,1,1,0,30,301.2333990353955,1.0
0,1,1,1,1,6,0,30,26.05853557594857,6.0
1,0,0,0,1,1,0,27,225.32940058803692,1.0
1,1,0,0,1,1,1,30,30.37275543664572,1.0
0,0,0,0,0,1,0,25,24.76110956198493,1.0
1,1,0,0,1,1,1,27,133.57018003003952,1.0
0,1,0,0,1,1,0,24,53.78760781677702,1.0
0,1,1,0,0,12,0,32,182.54869997348686,12.0
0,1,1,0,1,1,0,32,211.8141698710406,1.0
0,0,1,0,1,12,0,33,19.65945958701809,12.0
0,1,0,0,1,1,0,25,70.56509891958883,1.0
0,1,1,0,1,1,0,27,47.06427625180362,1.0
0,0,1,0,1,6,1,30,308.96204307704687,3.0
1,1,1,1,1,12,1,32,59.917857455895074,11.0
0,1,0,0,1,1,0,25,22.483668755772648,1.0
1,1,1,1,1,6,1,33,211.36241304310138,6.0
1,1,0,0,0,6,1,29,116.34512473349156,6.0
1,1,1,0,1,12,1,31,40.39625201718745,12.0
1,1,0,0,1,1,0,26,154.79277827257084,1.0
0,1,1,1,1,6,1,30,31.055816795371342,6.0
0,1,0,0,1,1,0,21,215.3961708621793,1.0
1,1,1,0,1,1,0,28,118.6067922829257,1.0
0,1,1,1,1,12,1,33,64.82988507036485,11.0
0,0,1,0,1,6,0,33,42.8904331572821,6.0
0,0,0,0,1,1,0,28,94.935375360385,1.0
1,0,0,0,0,1,0,30,89.09440024482761,1.0
1,1,1,0,1,1,1,32,202.8418540441845,1.0
1,1,0,0,1,6,1,31,34.699763494685484,6.0
1,0,0,0,1,1,1,28,209.3388491812627,1.0
0,1,1,0,1,1,0,29,81.20430397426577,1.0
0,1,1,1,1,6,0,31,221.68974227943696,6.0
0,1,1,1,1,1,1,30,83.80905576600622,1.0
0,1,0,1,1,1,1,24,29.74604343965725,1.0
1,1,0,0,1,1,0,31,92.68242236111273,1.0
0,1,0,0,1,1,0,27,179.62254946093648,1.0
0,1,0,0,1,12,1,25,148.76187874733117,12.0
0,1,0,0,1,6,1,33,196.23040389874083,5.0
1,1,1,1,1,6,0,29,75.77134294547776,6.0
0,1,0,0,1,12,0,31,73.66291261257362,11.0
1,1,1,0,1,12,1,28,401.72108163790887,12.0
1,1,1,1,1,12,0,30,126.73778542627744,11.0
1,1,1,1,1,6,0,25,47.51086882235995,6.0
1,1,1,1,1,6,0,23,104.6008322428951,5.0
1,1,1,0,1,1,0,33,208.24959040053088,1.0
0,1,0,0,1,12,0,31,60.51661086947127,12.0
1,1,0,0,1,12,1,34,198.96034793943332,9.0
1,1,1,1,0,1,0,30,167.8809021890936,1.0
0,1,0,0,1,1,0,25,118.0202886488705,1.0
0,1,1,1,1,1,0,27,263.8289611621347,1.0
1,1,1,1,0,1,1,28,108.28822359429323,1.0
1,1,0,0,1,1,0,31,145.67959907125402,1.0
1,1,1,0,1,6,1,32,274.7544395484131,6.0
0,1,0,0,1,1,1,19,162.87335365115175,1.0
0,1,0,0,1,6,0,30,121.41890864247213,6.0
1,1,1,1,1,12,0,25,241.61384109088826,12.0
1,1,1,1,1,1,1,31,151.72812771471737,1.0
1,1,1,1,0,1,1,34,185.14763266389855,1.0
1,1,1,1,1,12,0,24,97.02752669392471,12.0
1,1,0,0,0,6,0,33,48.88063316697397,6.0
1,1,1,1,1,12,0,34,223.22773839508488,12.0
1,1,1,0,1,12,1,30,236.5476458403929,12.0
1,1,0,1,1,1,0,33,209.54282357710758,1.0
0,1,1,0,1,12,0,32,329.7602838003287,12.0
0,1,1,1,1,6,1,34,65.20210679756127,6.0
1,1,1,1,1,12,1,32,205.01332765872868,12.0
1,1,1,1,1,6,1,28,88.78694416128735,5.0
0,1,1,0,1,1,0,24,99.94346544313056,1.0
1,1,1,1,1,1,0,28,14.92449090026227,1.0
0,1,1,0,0,12,1,22,190.5337917671884,9.0
0,1,0,1,1,1,0,27,96.15382591257894,1.0
1,1,1,1,1,6,0,24,61.69577245413643,6.0
0,1,1,1,1,12,1,29,171.0112303692203,12.0
1,1,0,1,1,6,1,31,271.1088950317004,5.0
1,1,1,1,1,12,1,32,49.91247486350488,10.0
1,1,0,0,1,6,1,25,76.45255869642811,6.0
1,1,1,0,1,6,0,28,145.72695493646592,6.0
1,1,0,0,1,12,0,27,220.91924673876682,11.0
0,0,1,0,1,1,1,29,176.89470961372035,1.0
1,1,1,0,0,1,1,35,30.631644881328373,1.0
0,1,1,1,1,1,0,32,33.01342540676184,1.0
1,1,1,1,1,1,0,29,178.83482459063717,1.0
1,1,1,0,1,12,1,29,411.2434648388392,11.0
1,1,1,0,1,12,1,24,246.4266792923053,7.0
1,1,0,0,1,6,0,30,331.1810047587449,6.0
0,1,0,0,1,6,1,29,7.728112614940784,6.0
0,0,1,0,1,1,0,22,22.12369540101716,1.0
0,1,0,0,1,12,0,35,204.91105811653188,12.0
0,1,0,0,1,1,0,27,239.01883485936287,1.0
0,1,0,0,1,12,1,30,195.43261996655656,12.0
1,1,0,0,1,6,0,31,154.2929630970706,6.0
0,1,1,1,1,12,0,32,185.85289320242543,6.0
1,1,1,1,1,12,1,24,225.38947395892288,12.0
0,1,1,1,1,12,1,32,389.3748946998128,12.0
0,1,1,1,1,1,1,28,172.6354349846669,1.0
1,1,0,0,1,1,0,32,257.3665206350924,1.0
0,1,1,0,1,6,1,27,279.6888597478946,5.0
0,1,0,1,1,1,1,24,65.82524598034601,1.0
1,1,1,1,0,12,0,27,197.5880401349397,12.0
0,1,0,1,1,1,0,32,129.4322773197114,1.0
0,1,0,0,1,6,0,31,144.69053242240662,5.0
1,1,0,0,1,1,0,29,100.86158120085035,1.0
0,1,0,0,0,1,0,28,143.69588818358375,1.0
0,0,0,0,1,1,0,22,165.2981709484678,1.0
1,1,0,0,1,1,0,33,209.9889543581675,1.0
1,1,0,0,1,1,1,29,38.38471552065799,1.0
1,0,0,0,1,1,0,31,12.146273821023117,1.0
0,1,0,0,0,12,0,31,276.253985110879,9.0
1,1,1,1,1,6,0,25,320.3253834993108,6.0
0,1,0,0,1,1,0,32,15.7904713206799,1.0
0,1,1,1,1,12,1,27,148.0528286993884,9.0
0,1,1,1,1,1,1,24,132.3456694795097,1.0
1,0,1,0,1,1,0,32,157.34053875806228,1.0
1,1,0,0,1,6,0,28,0.4340871188524461,6.0
1,1,1,0,0,1,1,28,166.8162897230476,1.0
1,1,1,1,1,1,0,35,114.21021927529844,1.0
0,0,1,1,1,1,0,33,17.867481013521505,1.0
1,1,0,0,1,1,0,27,106.92192797972086,1.0
1,1,1,1,1,1,1,23,92.61433804487112,1.0
0,1,0,0,1,6,0,30,113.12767610499156,5.0
1,1,0,0,0,1,1,31,103.2743596881186,1.0
0,1,1,1,1,6,1,33,126.26341337702615,5.0
1,1,0,0,1,1,1,30,43.91593539797858,1.0
1,1,1,0,1,12,0,31,13.479437643464479,7.0
1,1,0,0,1,12,0,29,53.83386289557243,11.0
1,1,0,0,1,6,1,31,165.51471484004566,6.0
1,1,1,1,1,1,1,26,247.7465935470901,1.0
1,1,1,0,1,6,0,27,63.780804955952505,6.0
0,1,1,0,1,6,1,34,61.726778151328155,5.0
1,1,0,1,1,1,1,27,81.8440498585637,1.0
0,0,1,0,1,1,1,32,13.105705833685574,1.0
0,1,1,0,1,12,1,24,202.93318174405292,12.0
1,1,1,1,1,6,1,31,124.3214760763662,6.0
1,1,1,1,1,12,1,29,44.36622144243327,10.0
0,1,0,0,1,1,1,33,89.52712690719872,1.0
0,0,0,0,1,1,0,27,45.921371486443356,1.0
1,1,0,0,1,1,0,31,13.957451491443095,1.0
0,1,0,0,0,6,0,31,26.857082657979944,6.0
1,1,0,0,1,12,1,30,185.4852607368476,12.0
1,1,1,1,1,12,0,31,257.90740421077544,8.0
0,1,1,1,1,12,1,33,51.89794008366663,12.0
0,1,1,0,0,6,1,30,118.69924604499602,6.0
0,1,1,1,1,1,0,30,45.95907957477971,1.0
1,0,0,0,1,1,0,29,183.5302597110648,1.0
1,1,1,1,1,12,0,27,152.7697924693581,11.0
1,1,0,1,0,6,1,32,150.3640478291993,3.0
1,1,0,0,1,1,0,32,261.92302889580867,1.0
1,1,1,0,1,12,0,33,384.6065486110849,12.0
0,1,0,0,1,1,1,24,18.705186956484308,1.0
1,1,0,0,0,12,1,28,369.1316265019199,12.0
1,1,0,0,1,1,1,28,17.100537871256563,1.0
0,1,1,1,0,1,0,29,226.16019771976872,1.0
1,0,1,0,1,6,0,27,148.6901643635804,5.0
0,1,1,0,1,6,0,30,92.025680895226,6.0
0,1,1,1,1,1,0,27,147.09410650869341,1.0
0,1,0,0,1,1,1,28,65.93002818229921,1.0
1,1,0,1,1,1,1,30,132.3067807372397,1.0
0,0,1,1,1,12,0,30,25.546786355178284,12.0
0,1,0,0,1,12,0,27,153.68460387362552,9.0
1,1,0,0,1,1,0,32,120.49178279415341,1.0
0,1,0,0,1,1,0,28,455.17322537635283,1.0
1,1,1,1,1,1,0,26,145.05290801158662,1.0
0,1,1,1,0,1,1,28,152.93069969851436,1.0
0,1,1,1,1,1,0,28,159.25357169001097,1.0
1,1,1,0,1,12,1,34,153.79869535835502,12.0
0,1,1,0,1,12,0,32,29.308459284738746,10.0
1,1,0,0,1,1,1,28,182.25119566168166,1.0
1,1,0,0,0,1,0,30,257.9154473055558,1.0
0,1,1,1,1,12,1,35,261.87547738149163,12.0
1,1,1,0,1,1,0,30,149.79085970430452,1.0
1,1,1,1,1,12,0,31,23.89303825694245,7.0
1,1,0,0,1,6,1,33,40.008250217354494,6.0
1,1,1,0,1,1,0,27,20.1207124209958,1.0
